order_id,order_date,customer_id,customer_email,customer_phone,product_id,product_category,unit_price,quantity,total_amount,payment_method,store_location,sales_rep_id,is_fulfilled,shipping_cost,discount_amount,is_discounted
ORD-1012,2025-01-14 23:13:50.196491,CUST2604,customer107@example.com,+1-374-321-9245,PRD-599,Sports,85.59,2,171.18,PayPal,ST10,EMP486,True,16.19,41.73,False
ORD-1013,2024-04-29 23:13:50.196491,CUST1235,customer307@example.com,+1-894-962-1442,PRD-837,Home,97.52,6,585.12,Credit Card,ST80,EMP991,True,11.29,27.92,True
ORD-1014,2024-11-23 23:13:50.196491,CUST2908,customer736@example.com,+1-779-639-8953,PRD-608,Sports,14.8,2,29.6,Credit Card,ST67,EMP920,True,24.22,1.55,True
ORD-1015,2024-12-14 23:13:50.196491,CUST9567,customer222@example.com,+1-481-459-8058,PRD-753,Sports,198.39,5,991.95,Cash,ST30,EMP567,True,2.1,23.07,False
ORD-1016,2024-11-25 23:13:50.196491,CUST4530,customer132@example.com,+1-830-991-8096,PRD-903,Clothing,99.76,6,598.56,Credit Card,ST89,EMP514,True,8.68,23.14,False
ORD-1017,2024-06-19 23:13:50.196491,CUST6256,customer612@example.com,+1-845-740-2031,PRD-580,Electronics,208.77,4,835.08,Cash,ST65,EMP168,True,10.48,27.19,False
ORD-1018,2024-08-09 23:13:50.196491,CUST3635,customer303@example.com,+1-762-590-1340,PRD-762,Books,467.82,3,1403.46,Credit Card,ST96,EMP571,True,0.42,33.55,False
ORD-1019,2024-05-15 23:13:50.196491,CUST9162,customer617@example.com,+1-671-892-8862,PRD-213,Electronics,218.12,7,1526.84,Credit Card,ST29,EMP203,False,9.12,0.97,True
ORD-1020,2024-07-04 23:13:50.196491,CUST3560,customer908@example.com,+1-903-348-1234,PRD-848,Books,439.6,2,879.2,Bank Transfer,ST63,EMP857,True,6.84,25.1,False
ORD-1021,2024-10-14 23:13:50.196491,CUST6415,customer616@example.com,+1-282-192-2291,PRD-677,Electronics,304.72,6,1828.32,Bank Transfer,ST34,EMP260,True,12.65,29.42,True
ORD-1022,2024-07-21 23:13:50.196491,CUST4391,customer542@example.com,+1-616-731-9720,PRD-460,Sports,127.33,4,509.32,Cash,ST37,EMP299,True,8.41,17.17,False
ORD-1023,2024-11-14 23:13:50.196491,CUST6951,customer691@example.com,+1-452-221-3939,PRD-440,Home,181.15,6,1086.9,Credit Card,ST14,EMP315,True,18.15,33.42,True
ORD-1024,2024-06-14 23:13:50.196491,CUST6468,customer885@example.com,+1-209-898-6435,PRD-869,Home,46.54,4,186.16,PayPal,ST30,EMP311,True,12.75,11.41,False
ORD-1025,2025-04-02 23:13:50.196491,CUST9007,customer788@example.com,+1-472-405-8972,PRD-860,Clothing,170.06,4,680.24,Bank Transfer,ST27,EMP607,True,3.24,15.87,False
ORD-1026,2024-08-14 23:13:50.196491,CUST7413,customer949@example.com,+1-409-829-3800,PRD-548,Books,340.38,4,1361.52,PayPal,ST56,EMP115,True,18.75,48.14,True
ORD-1027,2024-08-31 23:13:50.196491,CUST7941,customer932@example.com,+1-663-811-3775,PRD-942,Books,40.69,9,366.21,Bank Transfer,ST79,EMP597,True,2.48,17.4,False
ORD-1028,2024-05-14 23:13:50.196491,CUST5820,customer438@example.com,+1-916-515-8383,PRD-934,Books,106.67,7,746.69,Bank Transfer,ST66,EMP983,True,20.98,17.33,True
ORD-1029,2025-03-06 23:13:50.196491,CUST3898,customer537@example.com,+1-279-878-5997,PRD-279,Sports,193.81,3,581.43,Credit Card,ST28,EMP431,False,23.29,29.78,False
ORD-1030,2025-02-24 23:13:50.196491,CUST8546,customer544@example.com,+1-746-900-2188,PRD-801,Books,491.11,3,1473.33,Bank Transfer,ST74,EMP816,True,8.06,48.55,False
ORD-1031,2024-11-05 23:13:50.196491,CUST1077,customer235@example.com,+1-724-301-1740,PRD-506,Home,393.51,6,2361.06,PayPal,ST12,EMP976,True,23.15,49.15,True
ORD-1032,2024-10-18 23:13:50.196491,CUST8577,customer486@example.com,+1-545-465-3000,PRD-765,Sports,368.08,6,2208.48,Bank Transfer,ST51,EMP650,True,19.83,28.98,False
ORD-1033,2024-07-27 23:13:50.196491,CUST5227,customer124@example.com,+1-647-612-1318,PRD-295,Electronics,62.51,4,250.04,Cash,ST30,EMP700,True,23.06,0.05,True
ORD-1034,2024-10-16 23:13:50.196491,CUST1600,customer605@example.com,+1-416-133-2894,PRD-565,Books,391.59,9,3524.31,Credit Card,ST49,EMP355,True,16.66,45.03,False
ORD-1035,2024-10-31 23:13:50.196491,CUST2065,customer424@example.com,+1-465-739-8991,PRD-410,Books,393.71,4,1574.84,Credit Card,ST76,EMP865,True,5.89,28.51,False
ORD-1036,2025-03-04 23:13:50.196491,CUST3136,customer794@example.com,+1-279-776-9592,PRD-361,Electronics,302.55,9,2722.95,Cash,ST34,EMP827,True,22.36,18.3,False
ORD-1037,2024-04-25 23:13:50.196491,CUST7943,customer779@example.com,+1-923-381-3770,PRD-518,Books,495.23,4,1980.92,Cash,ST64,EMP979,True,4.61,41.46,False
ORD-1038,2025-02-28 23:13:50.196491,CUST8804,customer437@example.com,+1-577-850-1267,PRD-505,Electronics,166.0,2,332.0,Cash,ST93,EMP914,True,5.33,19.99,True
ORD-1039,2024-08-23 23:13:50.196491,CUST7565,customer789@example.com,+1-497-416-1569,PRD-242,Sports,470.93,2,941.86,Bank Transfer,ST61,EMP271,True,6.78,1.7,False
ORD-1040,2024-06-08 23:13:50.196491,CUST6984,customer984@example.com,+1-708-645-3822,PRD-441,Home,457.79,5,2288.95,Credit Card,ST53,EMP748,True,7.61,41.05,False
ORD-1041,2024-12-14 23:13:50.196491,CUST6142,customer194@example.com,+1-564-646-1270,PRD-415,Electronics,10.68,4,42.72,Cash,ST94,EMP597,True,12.86,27.29,True
ORD-1042,2024-06-21 23:13:50.196491,CUST5670,customer644@example.com,+1-673-838-7680,PRD-200,Clothing,227.81,7,1594.67,Bank Transfer,ST65,EMP570,True,17.84,16.91,False
ORD-1043,2024-12-10 23:13:50.196491,CUST3190,customer722@example.com,+1-433-158-6370,PRD-343,Electronics,488.67,5,2443.35,Cash,ST64,EMP483,True,23.16,12.54,False
ORD-1044,2025-04-03 23:13:50.196491,CUST3712,customer245@example.com,+1-285-862-9581,PRD-589,Books,56.05,6,336.3,PayPal,ST96,EMP789,True,2.21,29.69,False
ORD-1045,2024-05-30 23:13:50.196491,CUST3192,customer992@example.com,+1-379-818-7999,PRD-111,Sports,276.15,10,2761.5,PayPal,ST79,EMP688,True,23.86,10.4,True
ORD-1046,2024-11-08 23:13:50.196491,CUST2248,customer330@example.com,+1-348-682-1120,PRD-338,Sports,489.58,4,1958.32,Credit Card,ST86,EMP799,True,23.03,16.19,True
ORD-1047,2024-07-24 23:13:50.196491,CUST5033,customer883@example.com,+1-964-704-3303,PRD-660,Electronics,279.97,2,559.94,Bank Transfer,ST96,EMP606,True,1.35,31.83,False
ORD-1048,2025-01-25 23:13:50.196491,CUST2997,customer947@example.com,+1-965-963-9991,PRD-141,Home,98.96,10,989.6,PayPal,ST82,EMP626,True,9.01,44.08,False
ORD-1049,2024-06-12 23:13:50.196491,CUST4687,customer594@example.com,+1-508-158-8236,PRD-777,Clothing,293.18,9,2638.62,PayPal,ST90,EMP903,True,20.33,26.64,False
ORD-1050,2025-04-10 23:13:50.196491,CUST5018,customer137@example.com,+1-645-487-2109,PRD-693,Sports,106.2,10,1062.0,Bank Transfer,ST75,EMP930,True,15.29,37.96,True
ORD-1051,2024-08-25 23:13:50.196491,CUST2970,customer524@example.com,+1-985-326-9177,PRD-528,Books,262.25,7,1835.75,Cash,ST28,EMP424,True,19.48,38.15,False
ORD-1052,2024-08-02 23:13:50.196491,CUST9389,customer746@example.com,+1-825-283-6911,PRD-902,Books,41.65,4,166.6,Bank Transfer,ST92,EMP313,True,17.98,33.22,False
ORD-1053,2024-05-13 23:13:50.196491,CUST6765,customer945@example.com,+1-521-417-6828,PRD-257,Home,304.71,3,914.13,Cash,ST16,EMP307,True,12.42,12.29,True
ORD-1054,2025-03-02 23:13:50.196491,CUST2202,customer846@example.com,+1-492-392-9676,PRD-315,Sports,260.81,10,2608.1,PayPal,ST72,EMP268,True,1.03,43.34,True
ORD-1055,2024-05-19 23:13:50.196491,CUST9135,customer536@example.com,+1-646-902-2715,PRD-769,Electronics,371.38,3,1114.14,PayPal,ST51,EMP429,True,14.61,21.81,False
ORD-1056,2025-01-22 23:13:50.196491,CUST6567,customer930@example.com,+1-611-607-2757,PRD-561,Books,317.2,9,2854.8,PayPal,ST51,EMP379,True,1.21,2.21,False
ORD-1057,2024-08-03 23:13:50.196491,CUST8667,customer467@example.com,+1-985-989-6539,PRD-233,Home,277.06,5,1385.3,Credit Card,ST68,EMP404,False,15.09,12.23,False
ORD-1058,2025-03-20 23:13:50.196491,CUST6742,customer444@example.com,+1-353-915-2151,PRD-166,Sports,346.44,3,1039.32,Credit Card,ST29,EMP245,True,20.01,38.28,False
ORD-1059,2024-09-30 23:13:50.196491,CUST6788,customer259@example.com,+1-572-667-7302,PRD-947,Sports,76.25,5,381.25,Credit Card,ST82,EMP874,True,14.62,3.46,False
ORD-1060,2025-02-02 23:13:50.196491,CUST6408,customer649@example.com,+1-770-669-5747,PRD-106,Sports,299.7,2,599.4,Bank Transfer,ST26,EMP615,True,24.93,7.37,True
ORD-1061,2025-03-05 23:13:50.196491,CUST9669,customer761@example.com,+1-375-719-9402,PRD-625,Sports,90.19,4,360.76,PayPal,ST36,EMP189,True,11.4,34.71,False
ORD-1062,2024-04-29 23:13:50.196491,CUST1922,customer919@example.com,+1-646-685-3507,PRD-172,Sports,463.13,10,4631.3,PayPal,ST56,EMP552,True,18.72,44.63,False
ORD-1063,2025-04-22 23:13:50.196491,CUST1419,customer640@example.com,+1-556-403-8494,PRD-498,Books,38.83,2,77.66,Bank Transfer,ST11,EMP159,True,16.68,31.69,False
ORD-1064,2025-03-01 23:13:50.196491,CUST3204,customer243@example.com,+1-381-733-5038,PRD-504,Home,218.04,2,436.08,Credit Card,ST72,EMP410,True,24.79,11.11,True
ORD-1065,2025-01-08 23:13:50.196491,CUST2120,customer687@example.com,+1-228-813-8260,PRD-774,Sports,349.42,8,2795.36,Bank Transfer,ST71,EMP627,True,17.83,2.67,False
ORD-1066,2024-08-07 23:13:50.196491,CUST1950,customer756@example.com,+1-887-429-2746,PRD-677,Clothing,231.72,1,231.72,Credit Card,ST28,EMP326,True,4.1,30.76,False
ORD-1067,2024-06-18 23:13:50.196491,CUST3336,customer840@example.com,+1-383-194-1784,PRD-958,Clothing,50.59,7,354.13,PayPal,ST26,EMP573,True,23.89,2.37,False
ORD-1068,2024-10-15 23:13:50.196491,CUST6373,customer675@example.com,+1-848-848-8073,PRD-229,Home,278.92,5,1394.6,Cash,ST78,EMP640,True,16.69,30.64,False
ORD-1069,2024-09-18 23:13:50.196491,CUST3243,customer958@example.com,+1-464-746-6775,PRD-565,Electronics,322.61,8,2580.88,Credit Card,ST48,EMP762,True,1.48,11.28,False
ORD-1070,2025-03-11 23:13:50.196491,CUST3645,customer444@example.com,+1-218-842-3693,PRD-305,Electronics,353.38,1,353.38,PayPal,ST91,EMP856,True,16.44,45.23,False
ORD-1071,2024-11-13 23:13:50.196491,CUST5612,customer368@example.com,+1-825-598-4708,PRD-887,Electronics,189.76,7,1328.32,PayPal,ST80,EMP881,True,22.08,23.75,False
ORD-1072,2024-10-04 23:13:50.196491,CUST2865,customer939@example.com,+1-915-672-9953,PRD-867,Clothing,284.01,5,1420.05,Cash,ST90,EMP178,True,14.43,11.2,False
ORD-1073,2024-07-28 23:13:50.196491,CUST7028,customer795@example.com,+1-724-354-8252,PRD-365,Electronics,228.09,4,912.36,PayPal,ST48,EMP532,True,8.85,42.66,True
ORD-1074,2024-05-08 23:13:50.196491,CUST8326,customer872@example.com,+1-657-631-9867,PRD-636,Books,337.67,7,2363.69,PayPal,ST45,EMP900,True,20.52,12.7,False
ORD-1075,2024-06-24 23:13:50.196491,CUST7371,customer367@example.com,+1-291-699-1036,PRD-892,Sports,293.86,10,2938.6,Credit Card,ST49,EMP252,True,19.56,15.33,False
ORD-1076,2024-07-27 23:13:50.196491,CUST7359,customer268@example.com,+1-964-863-7283,PRD-352,Clothing,265.25,2,530.5,Credit Card,ST54,EMP888,True,13.6,41.71,False
ORD-1077,2024-09-21 23:13:50.196491,CUST8863,customer870@example.com,+1-879-665-9065,PRD-921,Home,128.51,1,128.51,Cash,ST13,EMP500,True,3.86,15.44,False
ORD-1078,2024-08-15 23:13:50.196491,CUST4228,customer838@example.com,+1-377-908-6932,PRD-388,Home,6.0,1,6.0,Cash,ST34,EMP378,True,6.27,20.51,False
ORD-1079,2024-10-16 23:13:50.196491,CUST4719,customer132@example.com,+1-817-236-7333,PRD-263,Sports,91.17,1,91.17,PayPal,ST78,EMP156,True,18.46,17.38,True
ORD-1080,2024-07-02 23:13:50.196491,CUST3371,customer476@example.com,+1-839-441-6067,PRD-194,Clothing,62.95,5,314.75,Credit Card,ST39,EMP285,True,20.15,5.82,False
ORD-1081,2024-09-23 23:13:50.196491,CUST3891,customer313@example.com,+1-456-911-1661,PRD-881,Electronics,227.3,10,2273.0,Cash,ST85,EMP497,True,6.98,1.94,False
ORD-1082,2024-09-28 23:13:50.196491,CUST4756,customer661@example.com,+1-442-886-8887,PRD-932,Electronics,308.07,7,2156.49,Cash,ST77,EMP704,True,9.2,36.23,True
ORD-1083,2024-08-30 23:13:50.196491,CUST5225,customer539@example.com,+1-614-726-7850,PRD-209,Books,110.48,2,220.96,Bank Transfer,ST97,EMP887,True,1.94,32.26,False
ORD-1084,2024-05-21 23:13:50.196491,CUST1094,customer591@example.com,+1-542-781-4897,PRD-435,Books,469.83,10,4698.3,Cash,ST38,EMP257,True,17.84,14.12,False
ORD-1085,2025-03-02 23:13:50.196491,CUST3674,customer492@example.com,+1-345-422-3169,PRD-921,Electronics,8.31,8,66.48,PayPal,ST82,EMP886,True,0.09,14.78,False
ORD-1086,2024-07-18 23:13:50.196491,CUST7898,customer588@example.com,+1-451-954-7454,PRD-337,Home,387.29,4,1549.16,Credit Card,ST77,EMP792,True,1.16,47.25,False
ORD-1087,2024-09-19 23:13:50.196491,CUST1793,customer821@example.com,+1-800-574-2515,PRD-480,Home,314.48,3,943.44,Cash,ST60,EMP458,True,0.11,49.38,False
ORD-1088,2024-08-15 23:13:50.196491,CUST3116,customer128@example.com,+1-774-446-3867,PRD-535,Books,189.91,10,1899.1,Bank Transfer,ST33,EMP539,True,16.13,23.67,False
ORD-1089,2024-10-18 23:13:50.196491,CUST6779,customer138@example.com,+1-686-572-5477,PRD-998,Sports,29.99,8,239.92,Credit Card,ST23,EMP688,True,10.43,40.12,True
ORD-1090,2025-03-14 23:13:50.196491,CUST7166,customer958@example.com,+1-479-171-3980,PRD-582,Electronics,315.61,2,631.22,Cash,ST78,EMP565,True,7.44,36.83,False
ORD-1091,2024-11-18 23:13:50.196491,CUST1814,customer711@example.com,+1-293-472-5759,PRD-124,Books,195.88,3,587.64,Bank Transfer,ST27,EMP762,True,22.82,14.87,False
ORD-1092,2025-04-09 23:13:50.196491,CUST1345,customer272@example.com,+1-691-967-1039,PRD-752,Books,468.45,3,1405.35,Cash,ST51,EMP545,True,4.82,2.93,False
ORD-1093,2024-06-27 23:13:50.196491,CUST9554,customer116@example.com,+1-558-673-6373,PRD-216,Electronics,273.29,10,2732.9,Credit Card,ST66,EMP849,True,9.73,7.13,False
ORD-1094,2025-02-18 23:13:50.196491,CUST3443,customer155@example.com,+1-780-497-2900,PRD-581,Electronics,470.13,1,470.13,Credit Card,ST92,EMP900,True,23.51,41.91,False
ORD-1095,2024-05-14 23:13:50.196491,CUST8783,customer325@example.com,+1-369-789-5796,PRD-491,Home,114.14,6,684.84,Credit Card,ST21,EMP842,True,10.68,36.56,True
ORD-1096,2024-06-01 23:13:50.196491,CUST1984,customer657@example.com,+1-710-359-9775,PRD-636,Sports,364.23,2,728.46,PayPal,ST91,EMP587,True,13.87,33.22,False
ORD-1097,2025-04-15 23:13:50.196491,CUST8790,customer166@example.com,+1-658-628-1815,PRD-178,Sports,310.54,1,310.54,Cash,ST26,EMP629,True,2.01,6.53,False
ORD-1098,2024-05-15 23:13:50.196491,CUST1827,customer296@example.com,+1-884-830-3511,PRD-679,Electronics,371.01,2,742.02,PayPal,ST39,EMP172,True,19.75,32.0,False
ORD-1099,2024-12-16 23:13:50.196491,CUST4531,customer753@example.com,+1-446-829-7516,PRD-272,Clothing,111.26,6,667.56,Credit Card,ST97,EMP800,True,10.57,38.61,False
ORD-1100,2024-12-09 23:13:50.196491,CUST8147,customer934@example.com,+1-616-130-7702,PRD-111,Books,334.17,4,1336.68,Bank Transfer,ST84,EMP116,True,20.01,43.03,False
ORD-1101,2025-02-20 23:13:50.196491,CUST5451,customer122@example.com,+1-845-207-5513,PRD-899,Books,251.53,6,1509.18,Cash,ST32,EMP630,True,6.34,0.66,False
ORD-1102,2024-12-06 23:13:50.196491,CUST4876,customer705@example.com,+1-819-920-2421,PRD-227,Electronics,372.7,9,3354.3,PayPal,ST90,EMP830,True,10.56,34.22,True
ORD-1103,2025-02-02 23:13:50.196491,CUST6959,customer853@example.com,+1-471-782-8283,PRD-707,Clothing,166.89,10,1668.9,Cash,ST10,EMP425,True,19.66,0.95,False
ORD-1104,2024-11-12 23:13:50.196491,CUST1126,customer336@example.com,+1-785-355-8248,PRD-191,Home,445.58,10,4455.8,Bank Transfer,ST88,EMP731,True,24.35,35.34,True
ORD-1105,2024-07-09 23:13:50.196491,CUST4177,customer665@example.com,+1-979-227-3962,PRD-752,Electronics,46.73,8,373.84,PayPal,ST41,EMP712,True,1.49,31.78,True
ORD-1106,2024-08-06 23:13:50.196491,CUST9795,customer237@example.com,+1-434-652-9372,PRD-642,Electronics,404.56,1,404.56,Credit Card,ST18,EMP645,True,20.31,7.42,False
ORD-1107,2024-09-05 23:13:50.196491,CUST7024,customer572@example.com,+1-356-553-9762,PRD-945,Books,431.35,8,3450.8,PayPal,ST24,EMP695,True,7.52,38.31,False
ORD-1108,2025-03-14 23:13:50.196491,CUST6109,customer944@example.com,+1-960-803-6592,PRD-631,Electronics,409.54,9,3685.86,Cash,ST37,EMP807,True,13.77,3.42,False
ORD-1109,2025-03-27 23:13:50.196491,CUST5146,customer883@example.com,+1-599-691-7277,PRD-757,Electronics,258.8,6,1552.8,Cash,ST33,EMP941,True,7.25,41.32,True
ORD-1110,2024-12-10 23:13:50.196491,CUST8196,customer652@example.com,+1-620-312-1347,PRD-927,Electronics,222.0,10,2220.0,Cash,ST69,EMP301,True,15.34,13.1,True
ORD-1111,2024-10-05 23:13:50.196491,CUST4368,customer709@example.com,+1-365-447-9774,PRD-546,Books,498.15,5,2490.75,Cash,ST44,EMP443,True,8.85,34.44,True
ORD-1112,2024-05-31 23:13:50.196491,CUST4797,customer794@example.com,+1-925-534-6696,PRD-489,Home,118.44,6,710.64,Credit Card,ST95,EMP952,True,8.34,46.18,True
ORD-1113,2024-07-30 23:13:50.196491,CUST2792,customer739@example.com,+1-420-407-4038,PRD-771,Home,275.7,6,1654.2,PayPal,ST36,EMP622,True,0.95,16.99,True
ORD-1114,2025-03-22 23:13:50.196491,CUST6732,customer328@example.com,+1-997-796-7609,PRD-960,Electronics,336.98,9,3032.82,Credit Card,ST92,EMP958,True,3.67,25.14,False
ORD-1115,2025-03-07 23:13:50.196491,CUST4476,customer416@example.com,+1-298-341-3274,PRD-142,Books,351.93,4,1407.72,Credit Card,ST85,EMP499,True,22.93,23.16,False
ORD-1116,2025-02-21 23:13:50.196491,CUST4417,customer697@example.com,+1-622-171-3577,PRD-353,Home,105.99,2,211.98,Credit Card,ST29,EMP317,True,24.96,7.88,False
ORD-1117,2024-09-20 23:13:50.196491,CUST2645,customer867@example.com,+1-788-144-6591,PRD-229,Home,328.73,9,2958.57,Cash,ST74,EMP544,True,19.51,29.52,False
ORD-1118,2024-07-05 23:13:50.196491,CUST4030,customer820@example.com,+1-570-954-5829,PRD-159,Home,410.09,2,820.18,Cash,ST94,EMP864,True,7.17,37.15,True
ORD-1119,2025-01-15 23:13:50.196491,CUST3872,customer826@example.com,+1-291-121-6311,PRD-762,Books,29.76,10,297.6,Cash,ST58,EMP321,True,10.06,45.84,False
ORD-1120,2024-11-03 23:13:50.196491,CUST4072,customer985@example.com,+1-276-380-2387,PRD-566,Books,456.2,9,4105.8,PayPal,ST10,EMP482,True,18.49,42.54,False
ORD-1121,2024-04-29 23:13:50.196491,CUST2854,customer711@example.com,+1-378-337-4206,PRD-386,Electronics,19.6,2,39.2,Bank Transfer,ST19,EMP980,True,24.21,25.5,False
ORD-1122,2024-09-22 23:13:50.196491,CUST5021,customer660@example.com,+1-479-118-2618,PRD-616,Sports,181.21,8,1449.68,Cash,ST56,EMP691,True,11.39,35.95,False
ORD-1123,2025-03-20 23:13:50.196491,CUST5662,customer300@example.com,+1-939-470-6896,PRD-566,Home,12.83,9,115.47,PayPal,ST68,EMP106,True,20.74,40.04,False
ORD-1124,2024-09-09 23:13:50.196491,CUST7514,customer357@example.com,+1-311-862-8843,PRD-877,Sports,43.19,10,431.9,Cash,ST71,EMP371,True,24.38,24.67,True
ORD-1125,2025-01-13 23:13:50.196491,CUST6031,customer579@example.com,+1-879-320-8063,PRD-444,Books,456.03,9,4104.27,Cash,ST95,EMP838,True,21.84,5.77,False
ORD-1126,2024-12-14 23:13:50.196491,CUST3708,customer987@example.com,+1-503-802-2348,PRD-741,Books,180.66,10,1806.6,Credit Card,ST27,EMP115,True,5.68,21.9,True
ORD-1127,2024-08-10 23:13:50.196491,CUST8112,customer277@example.com,+1-636-537-6289,PRD-481,Books,215.26,9,1937.34,Credit Card,ST55,EMP523,False,0.2,42.12,True
ORD-1128,2025-04-19 23:13:50.196491,CUST9393,customer856@example.com,+1-574-656-3428,PRD-878,Sports,111.6,2,223.2,Credit Card,ST41,EMP623,True,12.3,29.83,True
ORD-1129,2024-09-18 23:13:50.196491,CUST4507,customer222@example.com,+1-213-842-9860,PRD-789,Books,300.56,4,1202.24,PayPal,ST36,EMP902,True,13.28,36.22,False
ORD-1130,2024-08-12 23:13:50.196491,CUST7456,customer441@example.com,+1-699-745-2414,PRD-352,Electronics,299.43,7,2096.01,Bank Transfer,ST27,EMP852,False,5.03,9.26,False
ORD-1131,2024-04-30 23:13:50.196491,CUST5212,customer270@example.com,+1-748-664-9721,PRD-155,Books,189.24,2,378.48,Bank Transfer,ST48,EMP120,True,7.12,48.22,True
ORD-1132,2024-07-15 23:13:50.196491,CUST8970,customer944@example.com,+1-691-649-6315,PRD-562,Clothing,169.85,1,169.85,PayPal,ST58,EMP789,True,19.13,20.2,False
ORD-1133,2024-09-29 23:13:50.196491,CUST9766,customer747@example.com,+1-954-399-1726,PRD-556,Sports,443.06,3,1329.18,Cash,ST91,EMP327,True,11.76,32.68,False
ORD-1134,2025-04-09 23:13:50.196491,CUST1536,customer158@example.com,+1-930-927-3649,PRD-182,Clothing,194.73,4,778.92,PayPal,ST53,EMP884,True,7.93,0.94,False
ORD-1135,2024-05-13 23:13:50.196491,CUST2625,customer804@example.com,+1-507-351-3815,PRD-198,Books,249.28,8,1994.24,Cash,ST81,EMP387,True,15.57,6.37,False
ORD-1136,2025-03-13 23:13:50.196491,CUST8973,customer564@example.com,+1-407-230-4807,PRD-248,Electronics,145.24,6,871.44,PayPal,ST63,EMP908,True,16.32,39.1,False
ORD-1137,2024-10-27 23:13:50.196491,CUST9577,customer879@example.com,+1-908-753-1607,PRD-428,Home,394.45,2,788.9,PayPal,ST43,EMP233,True,19.23,48.4,False
ORD-1138,2025-02-20 23:13:50.196491,CUST9070,customer359@example.com,+1-225-722-6573,PRD-255,Books,201.74,9,1815.66,PayPal,ST80,EMP382,True,3.92,16.0,False
ORD-1139,2024-05-07 23:13:50.196491,CUST9666,customer472@example.com,+1-834-285-2074,PRD-289,Electronics,259.24,2,518.48,Bank Transfer,ST45,EMP503,True,18.54,1.86,False
ORD-1140,2024-09-05 23:13:50.196491,CUST9609,customer194@example.com,+1-204-688-4231,PRD-593,Sports,130.41,5,652.05,Credit Card,ST27,EMP764,True,14.99,18.04,False
ORD-1141,2024-08-26 23:13:50.196491,CUST7490,customer224@example.com,+1-407-356-4838,PRD-982,Clothing,493.89,4,1975.56,PayPal,ST47,EMP165,True,1.44,0.87,True
ORD-1142,2025-03-03 23:13:50.196491,CUST4600,customer140@example.com,+1-210-107-7103,PRD-362,Clothing,149.29,7,1045.03,Bank Transfer,ST68,EMP748,True,19.44,9.62,False
ORD-1143,2025-01-18 23:13:50.196491,CUST7783,customer990@example.com,+1-739-817-7783,PRD-179,Clothing,386.52,8,3092.16,Credit Card,ST18,EMP703,True,9.58,37.62,True
ORD-1144,2024-09-14 23:13:50.196491,CUST5971,customer353@example.com,+1-966-574-4822,PRD-499,Sports,216.61,5,1083.05,Credit Card,ST82,EMP536,True,8.26,46.85,False
ORD-1145,2024-09-05 23:13:50.196491,CUST2205,customer106@example.com,+1-406-417-6914,PRD-863,Electronics,107.08,10,1070.8,PayPal,ST81,EMP928,True,11.2,4.37,True
